neighbourhood_group,listings_count,avg_price,median_price,avg_reviews
Bronx,1090,87.57706422018349,65.0,25.977981651376147
Brooklyn,20095,124.43891515302315,90.0,24.197661109728788
Manhattan,21660,196.8849030470914,150.0,20.98656509695291
Queens,5666,99.51764913519237,75.0,27.70031768443346
Staten Island,373,114.81233243967829,75.0,30.94101876675603
